SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BdifKAkj1vy,17843546497234827,realestatelegalsolutions,2018-01-05 23:52:45,👊,,
BXGehZrAv2S,17868763114133701,tsankar,2017-07-28 20:13:39,Can't wait 😁,,
BXGehZrAv2S,17893078132046697,nattcity,2017-07-28 23:27:09,😝😝💃🏻,,
BevYsc6DB2q,17895549484192067,theoxfordsd,2018-02-03 16:01:31,#pendrysandiego #pendry #oxfordnights #gaslampquarter #sandiego #sdnightlife #vibes #1942 #downtownsandiego #babeswhodj #dj #skamartist,pendrysandiego pendry oxfordnights gaslampquarter sandiego sdnightlife vibes 1942 downtownsandiego babeswhodj dj skamartist ,
BevYsc6DB2q,17905055632085072,pendryhotels,2018-02-03 16:06:43,🙌🏻🙌🏻,,
BevYsc6DB2q,17907256333120179,kaylynsenna,2018-02-03 16:30:22,Yes!!,,
BevYsc6DB2q,17923059136012288,saintclairmusic,2018-02-03 17:36:20,Get the @donjuliotequila ready! #1942crew,1942crew ,donjuliotequila 
BevYsc6DB2q,17910002083097933,pendryhotels,2018-02-03 18:39:44,@saintclairmusic ✔️✔️,,saintclairmusic 
BWeh-uzAErD,17888405014002264,gurrolagrace_,2017-07-13 07:12:20,🥂🥂🍾,,
BWeh-uzAErD,17876989036103748,patrickjcarroll,2017-07-13 14:54:35,I like champagne,,
BWeh-uzAErD,17864451553158561,koi_sakura,2017-07-15 00:53:39,Unless you are a male.  This club doesn't allow men.,,This 
BWeh-uzAErD,17864075113190862,plethora_of_pics,2017-07-17 20:40:11,nice!,,
BWeh-uzAErD,17865366022148558,mia_k_mia,2017-07-19 00:10:09,Nice 😊,,
BeGigtCDFlU,17892023416152119,iamjroc,2018-01-18 19:18:20,🤘🏽,,
BeGigtCDFlU,17913390904064682,cinemazay,2018-01-18 19:21:09,Good one,,
BeGigtCDFlU,17893085383149271,theresandiego,2018-01-18 19:29:00,🤣🙌,,
BeGigtCDFlU,17918643217005924,lisa.remillard,2018-01-18 19:29:10,@brittanylett 🙌🏼,,brittanylett 
BeGigtCDFlU,17920567924057777,plantsandbalance,2018-01-18 19:34:06,relatable @lexig520 @ruuubysoho @o.shelton 😈,,lexig520 ruuubysoho o.shelton 
BeGigtCDFlU,17906728669106402,addypadilla,2018-01-18 19:35:33,@meleehonebee oh man  I’ve had that feeling. lol.,,meleehonebee I’ve 
BeGigtCDFlU,17904503845123054,christinamisleh,2018-01-18 19:43:27,@charlenehannakoussa @k_slaayy,,charlenehannakoussa k_slaayy 
BeGigtCDFlU,17910847132078977,danielrhernandezphotography,2018-01-18 19:53:28,@elprezpb,,elprezpb 
BeGigtCDFlU,17860025131215608,deejaylomo,2018-01-18 20:13:02,#turnup 🙌🏽🙌🏽,turnup ,
BeGigtCDFlU,17846446309230493,meleehonebee,2018-01-18 21:22:26,@addypadilla lmao so relatable  right,,addypadilla right 
BeGigtCDFlU,17919493024054953,keoana619,2018-01-18 22:03:03,@knwalker00 😂,,knwalker00 
BeGigtCDFlU,17892857767150230,fiine.chinaa,2018-01-18 22:18:41,😂😂😂 @milkysilkee,,milkysilkee 
BeGigtCDFlU,17918645221001998,milkysilkee,2018-01-18 22:28:28,@fiine.chinaa throw the flag like fuck it. We just worried bout what we doin in the moment.,,fiine.chinaa 
BeGigtCDFlU,17919849208005541,jessicalbosworth,2018-01-18 22:49:14,@laurenlostumo sounds like us #Whoops,Whoops ,laurenlostumo 
BeGigtCDFlU,17861423014207523,laurenlostumo,2018-01-18 22:55:57,@jessicalbosworth hahha yup 🙌🏼😂,,jessicalbosworth 
BeGigtCDFlU,17902431091095446,kaaybiie,2018-01-19 00:10:35,@krizzy_azn25,,krizzy_azn25 
BeGigtCDFlU,17919596293002456,xochka,2018-01-19 00:38:26,@isislimary 😂😂😂,,isislimary 
BeGigtCDFlU,17919549064016572,cinnndo,2018-01-19 00:46:14,@simplysimplify come for a weekend and get cray with me,,simplysimplify 
BeGigtCDFlU,17911489534078108,drey_uh,2018-01-19 01:29:15,@jessdoooit @alexg144 that’s what those shots tasted like last week 🤦🏻‍♀️,,jessdoooit alexg144 
BeGigtCDFlU,17919736225003561,jessdoooit,2018-01-19 01:30:25,@drey_uh 😂😂😂,,drey_uh 
BeGigtCDFlU,17919049654051685,kimbersystem,2018-01-19 01:30:46,@corbindalis You’ve failed because I dont remember seeing this and it wasnt because the alcohol. Requesting #TheDoOver,TheDoOver ,corbindalis 
BeGigtCDFlU,17910606610072951,corbindalis,2018-01-19 01:35:37,@kimbersystem that's not from there haha,,kimbersystem 
BeGigtCDFlU,17901626977088085,kimbersystem,2018-01-19 01:38:27,@corbindalis 💁🏻‍♂️ They why did they post it. Shhhesh. Well find it!! Lol,,corbindalis 
BeGigtCDFlU,17918996182046039,veggiepizzaqueen,2018-01-19 01:54:59,Aha love it 👌🏼😂😎🤷‍♀️,,
BeGigtCDFlU,17920358416016946,pitwife115,2018-01-19 04:32:47,@jessicahappens @natalyxm yes please!,,jessicahappens natalyxm 
BeGigtCDFlU,17906057479121566,jessicahappens,2018-01-19 04:43:43,@pitwife115 truth.,,pitwife115 
BeGigtCDFlU,17878462408199247,natalyxm,2018-01-19 05:27:45,@pitwife115 yessss!,,pitwife115 
BeGigtCDFlU,17919724741061421,krizzy_azn25,2018-01-21 04:12:12,@ kryzaie so true 😂,,
BeGigtCDFlU,17895301702190342,brittanivc1,2018-01-24 02:23:07,@piccadilly_lilly @sweetshannz,,piccadilly_lilly sweetshannz 
BQed8YGB1P6,17849139085162963,bondjustinbond_,2017-02-14 02:59:24,Dam what a weekend.,,
BQed8YGB1P6,17859834796080658,corydemery,2017-02-14 03:03:15,Insane weekend @theoxfordsd looking forward to many more!,,theoxfordsd 
BQed8YGB1P6,17873010280058686,alikitten,2017-02-14 03:06:18,SUCH a great weekend!!,,
BQed8YGB1P6,17863307503078197,thedjicon,2017-02-14 03:08:49,🔥🔥🔥,,
BQed8YGB1P6,17872259821022121,therealhanshodvil,2017-02-14 03:24:50,🙌🏾🙌🏾🙌🏾,,
BQed8YGB1P6,17872128850008468,trevordeanphotos,2017-02-14 03:38:15,Great times!,,
BQed8YGB1P6,17861267716119494,bradyspear,2017-02-14 03:40:51,🙌🙌🙌,,
BQed8YGB1P6,17849193121190831,sirpearce,2017-02-14 03:55:00,Weeeeeeeeewwwww!,,
BQed8YGB1P6,17859743932083851,dan_bolthouse,2017-02-14 04:55:20,Whoop whoop!! 🙌🏼,,
BQed8YGB1P6,17861286196108336,jbladow,2017-02-14 05:25:36,Wow such an amazing night,,
BQed8YGB1P6,17872599022003184,elenafalcon,2017-02-14 05:35:11,When are we going!!! @el_andingo @acostathekid @erichupacabra 💃🏽,,el_andingo acostathekid erichupacabra 
BQed8YGB1P6,17850935590137919,louisloother,2017-02-14 05:42:26,I see you @ceciliabooo lol,,ceciliabooo 
BQed8YGB1P6,17849179564162339,el_andingo,2017-02-14 05:43:21,@elenafalcon most likely after Cabo in April 👍🏼,,elenafalcon 
BQed8YGB1P6,17859691747094551,ceciliabooo,2017-02-14 05:44:09,@louisloother lol i made it😉,,louisloother 
BQed8YGB1P6,17872819528021276,elenafalcon,2017-02-14 05:56:48,@el_andingo that's to far away. I wanna go sooooon,,el_andingo 
BQed8YGB1P6,17871963124058223,el_andingo,2017-02-14 06:05:28,@elenafalcon have fun then 👍🏼,,elenafalcon 
BQed8YGB1P6,17849190856156673,kyleheckendorf,2017-02-14 08:53:33,San Diego's finest,,
BQed8YGB1P6,17866503742069364,kaitlinkaitlinnn,2017-02-14 15:42:38,🍾🍾🍾🍾🍾,,
BQed8YGB1P6,17861605180106142,taneshataylor,2017-02-16 20:40:03,This is amazing !!,,
BQed8YGB1P6,17867323027064626,pdeeezy,2017-02-16 21:34:25,@tashamadrid @breenahhh the new spot,,tashamadrid breenahhh 
BQed8YGB1P6,17849586880155211,mglegros,2017-02-18 03:53:58,@kcrennan,,kcrennan 
BQed8YGB1P6,17849858539165330,kmarrtttt,2017-02-22 03:31:01,@philjuly,,philjuly 
BQed8YGB1P6,17875180639031458,morrelofthestory,2017-02-23 02:54:21,@shylavi,,shylavi 
BQed8YGB1P6,17867702944069774,jetstine,2017-03-06 03:52:38,@danyelle_leigh we should go here too!,,danyelle_leigh 
